frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
208,6.933,3.747,3.832,bbox,1.072,0.347,1.321,0.255,3.9777,7.5928,,,,
209,6.967,3.609,3.747,bbox,1.072,0.347,1.321,0.255,4.005,7.528,,,,
210,7.0,3.578,3.609,bbox,1.128,0.347,1.321,0.255,4.0102,7.4954,0.6862,,0.6277,
211,7.033,3.575,3.578,bbox,1.128,0.347,1.406,0.255,4.0053,7.4794,,,,
212,7.067,3.544,3.578,bbox,1.128,0.347,1.439,0.255,4.0023,7.4333,,,,
213,7.1,3.5,3.575,bbox,1.128,0.347,1.439,0.255,3.9991,7.3854,0.6037,,0.5587,
214,7.133,3.418,3.544,bbox,1.128,0.347,1.501,0.255,3.9998,7.3108,,,,
215,7.167,3.377,3.5,bbox,1.128,0.347,1.549,0.255,4.0044,7.2823,,,,
216,7.2,3.329,3.418,bbox,1.128,0.347,1.624,0.255,3.9705,7.2443,0.7866,,0.6773,
217,7.233,3.395,3.395,bbox,1.128,0.347,1.624,0.255,3.9252,7.2358,,,,
218,7.267,3.455,3.395,bbox,1.128,0.347,1.69,0.255,3.9039,7.2198,,,,
219,7.3,3.508,3.395,bbox,1.128,0.4,1.69,0.255,3.8929,7.2232,0.7646,,0.6855,
220,7.333,,,,1.128,0.4,1.69,0.255,,,,,,
221,7.367,3.483,3.455,bbox,1.128,0.4,1.69,0.255,3.869,7.2287,,,,
222,7.4,3.481,3.481,bbox,1.128,0.432,1.69,0.255,3.8635,7.2269,0.1189,,0.6162,
223,7.433,,,,1.128,0.432,1.69,0.255,,,,,,
224,7.467,3.549,3.483,bbox,1.128,0.432,1.69,0.255,3.854,7.2434,,,,
225,7.5,3.553,3.508,bbox,1.128,0.432,1.69,0.255,3.8497,7.2402,0.7101,,0.5976,
226,7.533,3.597,3.549,bbox,1.128,0.471,1.69,0.255,3.8468,7.2461,,,,
227,7.567,3.638,3.553,bbox,1.128,0.471,1.69,0.255,3.8375,7.2523,,,,
228,7.6,3.656,3.597,bbox,1.128,0.471,1.69,0.255,3.823,7.2363,0.689,,0.6523,
229,7.633,3.607,3.607,bbox,1.128,0.471,1.69,0.255,3.8195,7.2305,,,,
230,7.667,3.587,3.607,bbox,1.128,0.502,1.69,0.255,3.8149,7.2259,,,,
231,7.7,3.563,3.607,bbox,1.128,0.502,1.69,0.255,3.7955,7.2071,0.3332,,0.7496,
232,7.733,3.569,3.587,bbox,1.128,0.502,1.69,0.255,3.7871,7.2001,,,,
233,7.767,3.548,3.569,bbox,1.128,0.502,1.727,0.255,3.7852,7.1855,,,,
234,7.8,3.742,3.569,bbox,1.128,0.538,1.727,0.255,3.7731,7.164,0.2747,,0.6695,
235,7.833,3.625,3.569,bbox,1.128,0.538,1.727,0.255,3.7536,7.1302,,,,
236,7.867,3.593,3.593,bbox,1.128,0.538,1.77,0.255,3.7537,7.1087,,,,
237,7.9,3.624,3.624,bbox,1.128,0.571,1.804,0.255,3.7448,7.0876,0.3075,,0.5958,
238,7.933,3.643,3.625,bbox,1.128,0.571,1.804,0.255,3.7453,7.076,,,,
239,7.967,3.699,3.625,bbox,1.128,0.571,1.847,0.255,3.7411,7.0453,,,,
240,8.0,3.537,3.624,bbox,1.128,0.571,1.847,0.255,3.7464,6.9822,0.2426,,0.5414,
241,8.033,3.488,3.624,bbox,1.128,0.571,1.889,0.255,3.7459,6.9609,,,,
242,8.067,3.398,3.537,bbox,1.128,0.571,1.952,0.255,3.7628,6.9441,,,,
243,8.1,2.992,3.488,pose,1.128,0.571,1.952,0.255,3.7722,6.9421,0.5767,0.678,0.6398,0.4499
244,8.133,3.325,3.398,bbox,1.128,0.571,1.99,0.255,3.7805,6.9261,,,,
245,8.167,3.277,3.325,bbox,1.128,0.571,1.99,0.255,3.7876,6.9104,,,,
246,8.2,3.184,3.277,bbox,1.128,0.571,1.99,0.255,3.7917,6.8535,0.6681,,0.6285,
247,8.233,3.134,3.184,bbox,1.162,0.571,2.024,0.255,3.8044,6.8165,,,,
248,8.267,3.122,3.184,bbox,1.162,0.571,2.081,0.255,3.8374,6.7966,,,,
249,8.3,3.235,3.184,bbox,1.162,0.571,2.118,0.255,3.8477,6.7908,0.8449,,0.52,
250,8.333,3.166,3.166,bbox,1.212,0.571,2.118,0.255,3.9007,6.7995,,,,
251,8.367,3.173,3.166,bbox,1.212,0.571,2.118,0.255,3.8999,6.8024,,,,
252,8.4,3.183,3.173,bbox,1.268,0.571,2.118,0.255,3.8941,6.8123,0.2468,,0.4174,
253,8.433,3.167,3.173,bbox,1.268,0.571,2.118,0.255,3.9068,6.8315,,,,
254,8.467,3.115,3.167,bbox,1.268,0.571,2.118,0.255,3.9237,6.8578,,,,
255,8.5,3.086,3.167,bbox,1.268,0.571,2.118,0.255,3.9407,6.8753,0.261,,0.5223,
256,8.533,3.043,3.115,bbox,1.268,0.571,2.118,0.296,3.9535,6.8625,,,,
257,8.567,2.952,3.086,bbox,1.315,0.571,2.118,0.296,3.9682,6.809,,,,
258,8.6,3.031,3.043,bbox,1.315,0.571,2.118,0.296,3.9819,6.8737,,,,
259,8.633,2.963,3.031,bbox,1.315,0.571,2.118,0.296,4.0068,6.8119,,,,
260,8.667,2.962,2.963,bbox,1.356,0.571,2.164,0.296,4.0082,6.7994,,,,
261,8.7,2.964,2.963,bbox,1.356,0.571,2.164,0.296,4.014,6.8137,0.862,,0.5497,
262,8.733,2.969,2.964,bbox,1.356,0.571,2.164,0.296,4.0158,6.8262,,,,
263,8.767,3.043,2.964,bbox,1.388,0.571,2.164,0.296,4.018,6.8824,,,,
264,8.8,3.01,2.969,bbox,1.388,0.571,2.164,0.296,4.024,6.8563,0.8547,,0.5557,
265,8.833,2.968,2.969,bbox,1.388,0.571,2.164,0.331,4.0278,6.8463,,,,
266,8.867,2.924,2.969,bbox,1.388,0.571,2.164,0.331,4.0321,6.8307,,,,
267,8.9,2.907,2.968,bbox,1.388,0.571,2.164,0.331,4.0281,6.8083,0.859,,0.5854,
268,8.933,2.879,2.924,bbox,1.388,0.571,2.164,0.331,4.0262,6.7763,,,,
269,8.967,2.863,2.907,bbox,1.388,0.571,2.202,0.331,4.0236,6.7535,,,,
270,9.0,2.819,2.879,bbox,1.388,0.571,2.234,0.331,4.0456,6.707,0.8134,,0.6629,
271,9.033,2.792,2.863,bbox,1.388,0.571,2.234,0.331,4.0477,6.6813,,,,
272,9.067,2.797,2.819,bbox,1.388,0.571,2.303,0.331,4.0329,6.6679,,,,
273,9.1,3.395,2.819,pose,1.42,0.571,2.303,0.331,4.0539,6.6622,0.7742,0.1219,0.6236,0.9393
274,9.133,2.763,2.797,bbox,1.42,0.571,2.342,0.331,4.0432,6.6466,,,,
275,9.167,2.722,2.792,bbox,1.42,0.571,2.342,0.331,4.0342,6.6421,,,,
276,9.2,2.707,2.763,bbox,1.42,0.571,2.342,0.331,4.0422,6.633,0.425,,0.6222,
277,9.233,2.708,2.722,bbox,1.42,0.571,2.342,0.331,4.0357,6.6212,,,,
278,9.267,2.723,2.722,bbox,1.42,0.571,2.377,0.331,4.0174,6.6128,,,,
279,9.3,2.768,2.722,bbox,1.42,0.571,2.377,0.331,3.9712,6.6035,0.175,,0.2271,
280,9.333,2.792,2.723,bbox,1.42,0.571,2.377,0.331,3.9482,6.5827,,,,
281,9.367,2.815,2.768,bbox,1.42,0.646,2.377,0.331,3.9296,6.5777,,,,
282,9.4,2.165,2.768,pose,1.42,0.646,2.41,0.331,3.9043,6.6004,0.265,0.0838,0.1747,0.7447
283,9.433,,,,1.42,0.646,2.41,0.331,,,,,,
284,9.467,,,,1.42,0.646,2.41,0.331,,,,,,
285,9.5,3.02,2.792,bbox,1.42,0.687,2.41,0.331,3.8,6.6813,0.7688,,0.5905,
286,9.533,3.069,2.815,bbox,1.42,0.687,2.41,0.331,3.795,6.7045,,,,
287,9.567,3.11,3.02,bbox,1.42,0.817,2.41,0.412,3.7882,6.7268,,,,
288,9.6,3.155,3.069,bbox,1.42,0.817,2.41,0.412,3.7768,6.752,0.8252,,0.5774,
289,9.633,3.168,3.11,bbox,1.42,0.817,2.41,0.457,3.773,6.7574,,,,
290,9.667,3.147,3.147,bbox,1.42,0.817,2.41,0.457,3.7699,6.7527,,,,
291,9.7,3.175,3.155,bbox,1.42,0.817,2.41,0.457,3.7652,6.7625,0.813,,0.6298,
292,9.733,3.166,3.166,bbox,1.42,0.847,2.41,0.457,3.7678,6.7528,,,,
293,9.767,3.152,3.166,bbox,1.42,0.847,2.41,0.457,3.7577,6.7349,,,,
294,9.8,3.157,3.157,bbox,1.42,0.847,2.41,0.457,3.7577,6.7528,0.7764,,0.6479,
295,9.833,3.16,3.16,bbox,1.42,0.847,2.41,0.457,3.7586,6.7522,,,,
296,9.867,3.166,3.16,bbox,1.42,0.847,2.41,0.457,3.7548,6.7513,,,,
297,9.9,2.966,3.157,pose,1.42,0.847,2.41,0.457,3.7525,6.7417,0.7948,0.1188,0.6272,0.7114
298,9.933,3.127,3.157,bbox,1.42,0.847,2.41,0.457,3.7475,6.7357,,,,
299,9.967,3.128,3.128,bbox,1.42,0.847,2.41,0.457,3.7465,6.7301,,,,
300,10.0,3.158,3.128,bbox,1.42,0.847,2.41,0.457,3.7495,6.7206,0.83,,0.5746,
301,10.033,3.171,3.128,bbox,1.42,0.847,2.41,0.457,3.7563,6.7125,,,,
302,10.067,3.135,3.135,bbox,1.42,0.847,2.41,0.457,3.7634,6.6912,,,,
303,10.1,3.119,3.135,bbox,1.42,0.847,2.41,0.457,3.765,6.672,0.827,,0.6154,
304,10.133,3.083,3.135,bbox,1.42,0.847,2.445,0.457,3.7726,6.6531,,,,
305,10.167,3.048,3.119,bbox,1.42,0.847,2.445,0.457,3.7746,6.643,,,,
306,10.2,3.012,3.083,bbox,1.42,0.847,2.484,0.457,3.7838,6.6315,0.7999,,0.6439,
307,10.233,2.997,3.048,bbox,1.42,0.847,2.484,0.457,3.7933,6.6226,,,,
308,10.267,2.958,3.012,bbox,1.42,0.847,2.484,0.457,3.7944,6.6065,,,,
309,10.3,2.917,2.997,bbox,1.42,0.847,2.514,0.457,3.7899,6.5544,0.8291,,0.6281,
310,10.333,2.871,2.958,bbox,1.42,0.847,2.514,0.457,3.7866,6.4819,,,,
311,10.367,2.802,2.917,bbox,1.42,0.847,2.582,0.457,3.7846,6.4162,,,,
312,10.4,2.807,2.871,bbox,1.42,0.847,2.655,0.457,3.79,6.3778,0.8782,,0.5664,
313,10.433,2.782,2.807,bbox,1.42,0.847,2.72,0.457,3.7939,6.3674,,,,
314,10.467,2.791,2.802,bbox,1.42,0.847,2.759,0.457,3.7906,6.3679,,,,
315,10.5,2.763,2.791,bbox,1.42,0.847,2.759,0.457,3.7897,6.3538,0.8382,,0.5349,
316,10.533,2.764,2.782,bbox,1.42,0.847,2.759,0.457,3.7832,6.3565,,,,
317,10.567,2.755,2.764,bbox,1.42,0.847,2.759,0.457,3.7861,6.3621,,,,
318,10.6,2.745,2.763,bbox,1.42,0.847,2.759,0.457,3.7915,6.3708,0.8498,,0.6212,
319,10.633,2.764,2.763,bbox,1.42,0.847,2.759,0.457,3.7998,6.4061,,,,
320,10.667,2.813,2.764,bbox,1.42,0.847,2.759,0.457,3.8079,6.4785,,,,
