frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
258,8.854,2.603,2.923,pose,2.146,1.545,2.496,1.328
259,8.888,2.951,2.951,bbox,2.146,1.545,2.496,1.328
260,8.922,2.943,2.951,bbox,2.146,1.545,2.496,1.328
261,8.957,2.15,2.943,pose,2.185,1.545,2.496,1.328
262,8.991,2.912,2.912,bbox,2.185,1.545,2.496,1.367
263,9.025,2.903,2.912,bbox,2.227,1.545,2.496,1.367
264,9.06,2.911,2.911,bbox,2.289,1.545,2.496,1.406
265,9.094,2.943,2.911,bbox,2.325,1.545,2.496,1.406
266,9.128,2.942,2.912,bbox,2.325,1.545,2.496,1.406
267,9.163,2.952,2.942,bbox,2.325,1.545,2.496,1.438
268,9.197,2.979,2.943,bbox,2.325,1.545,2.496,1.438
269,9.231,2.985,2.952,bbox,2.325,1.545,2.496,1.438
270,9.266,2.268,2.952,pose,2.325,1.545,2.496,1.438
271,9.3,2.978,2.978,bbox,2.325,1.545,2.496,1.438
272,9.334,2.972,2.978,bbox,2.325,1.545,2.496,1.438
273,9.369,3.027,2.978,bbox,2.325,1.545,2.496,1.438
274,9.403,2.881,2.972,bbox,2.325,1.545,2.496,1.438
275,9.437,2.824,2.972,bbox,2.325,1.545,2.535,1.438
276,9.472,2.738,2.881,bbox,2.325,1.545,2.535,1.438
277,9.506,2.639,2.824,bbox,2.325,1.545,2.596,1.438
278,9.54,2.587,2.738,bbox,2.325,1.545,2.699,1.438
279,9.574,2.498,2.639,bbox,2.325,1.545,2.791,1.438
280,9.609,2.455,2.587,bbox,2.325,1.545,2.791,1.438
281,9.643,2.34,2.498,bbox,2.325,1.545,2.865,1.438
282,9.677,1.968,2.455,pose,2.325,1.584,2.959,1.438
283,9.712,2.355,2.355,bbox,2.325,1.633,3.094,1.438
284,9.746,2.429,2.355,bbox,2.325,1.688,3.166,1.438
285,9.78,2.433,2.355,bbox,2.325,1.748,3.166,1.438
286,9.815,2.521,2.429,bbox,2.325,1.791,3.166,1.438
287,9.849,2.587,2.433,bbox,2.325,1.791,3.166,1.438
288,9.883,1.445,2.433,pose,2.325,1.791,3.166,1.438
289,9.918,2.379,2.433,bbox,2.325,1.832,3.166,1.438
290,9.952,2.285,2.379,bbox,2.325,1.884,3.226,1.438
291,9.986,2.236,2.285,bbox,2.325,1.884,3.329,1.438
292,10.021,2.277,2.277,bbox,2.325,1.884,3.424,1.438
293,10.055,2.206,2.277,bbox,2.325,1.884,3.424,1.438
294,10.089,2.298,2.277,bbox,2.325,1.884,3.424,1.438
295,10.124,2.335,2.277,bbox,2.325,1.926,3.424,1.438
296,10.158,2.347,2.298,bbox,2.325,2.037,3.473,1.438
297,10.192,2.281,2.298,bbox,2.325,2.116,3.578,1.438
298,10.226,2.292,2.298,bbox,2.325,2.169,3.619,1.438
299,10.261,2.288,2.292,bbox,2.325,2.169,3.657,1.438
300,10.295,2.373,2.292,bbox,2.325,2.207,3.702,1.438
301,10.329,2.239,2.288,bbox,2.325,2.207,3.702,1.438
302,10.364,2.26,2.288,bbox,2.325,2.207,3.702,1.438
303,10.398,2.259,2.26,pose,2.325,2.207,3.702,1.438
304,10.432,2.387,2.26,bbox,2.325,2.289,3.702,1.438
305,10.467,2.543,2.26,bbox,2.325,2.289,3.702,1.438
306,10.501,2.26,2.26,pose,2.325,2.351,3.702,1.517
307,10.535,2.647,2.387,bbox,2.325,2.442,3.702,1.517
308,10.57,2.69,2.543,bbox,2.325,2.442,3.702,1.517
309,10.604,2.256,2.543,pose,2.325,2.476,3.702,1.517
310,10.638,2.753,2.647,bbox,2.325,2.526,3.702,1.517
311,10.673,2.71,2.69,bbox,2.325,2.526,3.702,1.517
312,10.707,2.13,2.69,pose,2.325,2.526,3.702,1.517
313,10.741,2.646,2.646,bbox,2.325,2.526,3.702,1.517
314,10.776,2.564,2.646,bbox,2.325,2.526,3.702,1.517
315,10.81,2.505,2.564,bbox,2.325,2.526,3.702,1.517
316,10.844,2.476,2.505,bbox,2.361,2.526,3.702,1.517
317,10.879,2.493,2.505,bbox,2.361,2.526,3.702,1.517
318,10.913,1.904,2.493,pose,2.361,2.526,3.702,1.517
319,10.947,2.362,2.476,bbox,2.392,2.526,3.735,1.517
320,10.981,2.334,2.362,bbox,2.433,2.526,3.735,1.517
321,11.016,1.875,2.334,pose,2.433,2.526,3.735,1.517
322,11.05,2.351,2.334,bbox,2.497,2.526,3.735,1.517
323,11.084,2.359,2.351,bbox,2.497,2.526,3.735,1.517
324,11.119,3.55,2.351,pose,2.497,2.526,3.735,1.517
325,11.153,2.464,2.359,bbox,2.497,2.526,3.735,1.517
326,11.187,2.539,2.464,bbox,2.497,2.526,3.735,1.581
327,11.222,1.972,2.464,pose,2.497,2.558,3.735,1.633
328,11.256,2.688,2.539,bbox,2.497,2.59,3.735,1.681
329,11.29,2.822,2.539,bbox,2.497,2.59,3.735,1.728
330,11.325,2.241,2.539,pose,2.497,2.59,3.735,1.805
331,11.359,2.934,2.688,bbox,2.497,2.59,3.735,1.847
332,11.393,2.929,2.822,bbox,2.497,2.59,3.735,1.884
333,11.428,2.229,2.822,pose,2.497,2.59,3.735,1.935
334,11.462,2.926,2.926,bbox,2.497,2.59,3.735,1.935
335,11.496,2.905,2.926,bbox,2.497,2.59,3.735,1.935
336,11.531,2.164,2.905,pose,2.497,2.59,3.735,1.935
337,11.565,2.781,2.781,bbox,2.497,2.59,3.735,1.935
338,11.599,2.758,2.781,bbox,2.497,2.59,3.735,1.935
339,11.633,2.258,2.758,pose,2.497,2.59,3.735,1.935
340,11.668,2.739,2.739,bbox,2.55,2.59,3.735,1.935
341,11.702,2.586,2.739,bbox,2.584,2.59,3.735,1.935
342,11.736,2.271,2.586,pose,2.584,2.59,3.735,1.935
343,11.771,2.578,2.578,bbox,2.677,2.59,3.735,1.935
344,11.805,2.565,2.578,bbox,2.677,2.59,3.773,1.935
345,11.839,2.562,2.565,bbox,2.677,2.59,3.773,1.935
346,11.874,2.769,2.565,bbox,2.677,2.59,3.773,1.985
347,11.908,2.74,2.578,bbox,2.677,2.59,3.773,1.985
348,11.942,2.74,2.74,bbox,2.722,2.59,3.773,2.08
349,11.977,2.612,2.74,bbox,2.772,2.59,3.773,2.08
350,12.011,2.644,2.74,bbox,2.772,2.59,3.773,2.08
351,12.045,2.611,2.644,bbox,2.772,2.59,3.773,2.08
352,12.08,2.743,2.644,bbox,2.772,2.59,3.773,2.08
353,12.114,2.783,2.644,bbox,2.772,2.59,3.773,2.08
354,12.148,2.125,2.644,pose,2.772,2.59,3.773,2.141
355,12.183,2.872,2.743,bbox,2.772,2.59,3.773,2.141
356,12.217,2.886,2.783,bbox,2.772,2.59,3.773,2.181
357,12.251,2.154,2.783,pose,2.772,2.59,3.773,2.228
358,12.286,2.885,2.872,bbox,2.772,2.59,3.773,2.228
359,12.32,2.899,2.885,bbox,2.772,2.59,3.773,2.228
360,12.354,2.172,2.885,pose,2.772,2.59,3.773,2.228
361,12.388,2.836,2.836,bbox,2.772,2.59,3.773,2.228
362,12.423,2.769,2.836,bbox,2.772,2.59,3.773,2.228
363,12.457,2.129,2.769,pose,2.772,2.59,3.773,2.228
364,12.491,2.764,2.764,bbox,2.772,2.59,3.773,2.228
365,12.526,2.751,2.764,bbox,2.772,2.59,3.773,2.259
366,12.56,2.241,2.751,pose,2.772,2.59,3.773,2.259
367,12.594,2.794,2.751,bbox,2.772,2.59,3.773,2.259
368,12.629,2.848,2.764,bbox,2.772,2.59,3.773,2.336
369,12.663,2.895,2.794,bbox,2.805,2.59,3.773,2.336
370,12.697,2.898,2.848,bbox,2.805,2.59,3.773,2.336
371,12.732,2.834,2.848,bbox,2.805,2.59,3.773,2.336
372,12.766,2.807,2.848,bbox,2.805,2.59,3.773,2.336
373,12.8,2.778,2.834,bbox,2.805,2.59,3.773,2.336
374,12.835,2.778,2.807,bbox,2.838,2.59,3.773,2.336
375,12.869,1.965,2.778,pose,2.838,2.59,3.773,2.336
376,12.903,2.579,2.778,bbox,2.838,2.59,3.773,2.336
377,12.938,2.512,2.579,bbox,2.838,2.59,3.831,2.336
378,12.972,1.822,2.512,pose,2.88,2.59,3.831,2.336
379,13.006,2.55,2.512,bbox,2.88,2.59,3.831,2.336
380,13.04,2.527,2.527,bbox,2.88,2.59,3.831,2.336
381,13.075,1.866,2.512,pose,2.88,2.59,3.831,2.336
382,13.109,2.538,2.527,bbox,2.88,2.59,3.831,2.336
383,13.143,2.564,2.538,bbox,2.88,2.59,3.831,2.336
