frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
282,9.4,2.515,2.786,pose,2.697,0.467,1.953,0.578
283,9.433,2.922,2.812,bbox,2.697,0.467,1.953,0.578
284,9.467,2.976,2.829,bbox,2.697,0.467,1.953,0.649
285,9.5,3.038,2.922,bbox,2.697,0.516,1.953,0.649
286,9.533,3.091,2.976,bbox,2.697,0.549,1.953,0.649
287,9.567,3.159,3.038,bbox,2.697,0.549,1.953,0.725
288,9.6,3.156,3.091,bbox,2.697,0.549,1.953,0.725
289,9.633,3.172,3.156,bbox,2.697,0.616,1.953,0.725
290,9.667,3.146,3.156,bbox,2.697,0.616,1.953,0.725
291,9.7,3.305,3.159,pose,2.697,0.616,1.953,0.725
292,9.733,3.182,3.172,bbox,2.697,0.616,1.953,0.755
293,9.767,3.16,3.172,bbox,2.697,0.616,1.953,0.755
294,9.8,3.139,3.16,pose,2.697,0.616,1.953,0.755
295,9.833,3.157,3.16,bbox,2.697,0.616,1.953,0.755
296,9.867,3.154,3.157,bbox,2.697,0.616,1.953,0.755
297,9.9,3.156,3.156,bbox,2.697,0.616,1.953,0.755
298,9.933,3.155,3.155,bbox,2.697,0.616,1.953,0.755
299,9.967,3.146,3.155,bbox,2.697,0.616,1.953,0.755
300,10.0,3.177,3.155,bbox,2.697,0.616,1.953,0.755
301,10.033,3.169,3.156,bbox,2.697,0.616,1.953,0.755
302,10.067,3.157,3.157,bbox,2.697,0.616,1.953,0.755
303,10.1,3.142,3.157,bbox,2.739,0.616,1.953,0.755
304,10.133,3.112,3.157,bbox,2.739,0.616,1.953,0.755
305,10.167,3.075,3.142,bbox,2.779,0.616,1.953,0.755
306,10.2,2.783,3.112,pose,2.779,0.616,1.953,0.755
307,10.233,2.998,3.075,bbox,2.779,0.616,1.953,0.755
308,10.267,2.977,2.998,bbox,2.779,0.616,1.953,0.755
309,10.3,2.946,2.977,bbox,2.837,0.616,1.953,0.755
310,10.333,2.894,2.946,bbox,2.837,0.616,1.953,0.755
311,10.367,2.849,2.946,bbox,2.887,0.616,1.953,0.755
312,10.4,2.286,2.894,pose,2.887,0.616,1.953,0.755
313,10.433,2.796,2.849,bbox,2.967,0.616,1.953,0.755
314,10.467,2.803,2.803,bbox,3.031,0.616,1.953,0.755
315,10.5,2.78,2.796,bbox,3.08,0.616,1.953,0.755
316,10.533,2.771,2.78,bbox,3.08,0.616,1.953,0.755
317,10.567,2.754,2.78,bbox,3.08,0.616,1.953,0.755
318,10.6,2.764,2.771,bbox,3.08,0.616,1.953,0.755
319,10.633,2.765,2.765,bbox,3.08,0.616,1.953,0.755
320,10.667,2.84,2.765,bbox,3.08,0.616,1.953,0.755
321,10.7,2.932,2.765,bbox,3.08,0.648,1.953,0.755
322,10.733,2.974,2.84,bbox,3.08,0.727,1.953,0.755
323,10.767,3.061,2.932,bbox,3.08,0.818,1.953,0.755
324,10.8,2.489,2.932,pose,3.08,0.869,1.953,0.755
325,10.833,3.214,2.974,bbox,3.08,0.928,1.953,0.755
326,10.867,3.232,3.061,bbox,3.08,1.013,1.953,0.755
327,10.9,3.146,3.146,bbox,3.08,1.013,1.953,0.755
328,10.933,3.187,3.187,bbox,3.08,1.013,1.953,0.755
329,10.967,3.206,3.206,bbox,3.08,1.013,1.989,0.755
330,11.0,2.498,3.187,pose,3.08,1.013,1.989,0.755
331,11.033,3.201,3.187,bbox,3.08,1.05,1.989,0.755
332,11.067,3.259,3.201,bbox,3.08,1.139,1.989,0.755
333,11.1,3.31,3.206,bbox,3.08,1.211,1.989,0.755
334,11.133,3.364,3.259,bbox,3.08,1.211,2.026,0.755
335,11.167,3.413,3.31,bbox,3.08,1.281,2.026,0.755
336,11.2,3.432,3.364,bbox,3.08,1.316,2.026,0.755
337,11.233,3.477,3.413,bbox,3.08,1.316,2.026,0.755
338,11.267,3.477,3.432,bbox,3.08,1.316,2.026,0.755
339,11.3,3.006,3.432,pose,3.08,1.348,2.026,0.755
340,11.333,3.462,3.462,bbox,3.08,1.348,2.026,0.755
341,11.367,3.44,3.462,bbox,3.08,1.348,2.065,0.755
342,11.4,3.262,3.44,pose,3.08,1.381,2.065,0.755
343,11.433,3.31,3.31,bbox,3.08,1.381,2.098,0.755
344,11.467,3.271,3.31,bbox,3.08,1.381,2.098,0.755
345,11.5,3.944,3.31,pose,3.08,1.381,2.134,0.755
346,11.533,3.144,3.271,bbox,3.114,1.381,2.134,0.755
347,11.567,3.122,3.271,bbox,3.159,1.381,2.134,0.755
348,11.6,3.104,3.144,bbox,3.199,1.381,2.174,0.755
349,11.633,3.143,3.143,bbox,3.199,1.381,2.174,0.755
350,11.667,3.129,3.129,bbox,3.199,1.381,2.216,0.755
351,11.7,3.112,3.122,bbox,3.232,1.381,2.216,0.755
352,11.733,3.079,3.112,bbox,3.232,1.381,2.269,0.755
353,11.767,3.065,3.112,bbox,3.27,1.381,2.269,0.755
354,11.8,3.044,3.079,bbox,3.27,1.381,2.269,0.755
355,11.833,2.952,3.065,bbox,3.27,1.381,2.269,0.755
356,11.867,2.904,3.044,bbox,3.27,1.381,2.305,0.755
357,11.9,2.86,2.952,bbox,3.302,1.381,2.341,0.755
358,11.933,2.838,2.904,bbox,3.302,1.381,2.372,0.755
359,11.967,2.814,2.86,bbox,3.302,1.381,2.424,0.755
360,12.0,2.801,2.838,bbox,3.302,1.381,2.424,0.755
361,12.033,2.751,2.814,bbox,3.333,1.381,2.505,0.755
362,12.067,2.739,2.801,bbox,3.333,1.381,2.505,0.755
363,12.1,2.745,2.751,bbox,3.333,1.381,2.505,0.755
364,12.133,2.733,2.745,bbox,3.333,1.381,2.554,0.755
365,12.167,2.77,2.745,bbox,3.333,1.381,2.554,0.755
366,12.2,2.82,2.745,bbox,3.333,1.381,2.554,0.755
367,12.233,2.845,2.77,bbox,3.333,1.441,2.554,0.755
368,12.267,2.875,2.82,bbox,3.333,1.497,2.554,0.755
369,12.3,3.647,2.845,pose,3.333,1.497,2.554,0.755
370,12.333,2.996,2.875,bbox,3.333,1.53,2.554,0.755
371,12.367,3.031,2.996,bbox,3.333,1.582,2.554,0.755
372,12.4,3.114,3.031,bbox,3.333,1.674,2.554,0.755
373,12.433,3.138,3.114,bbox,3.333,1.674,2.554,0.755
374,12.467,3.144,3.114,bbox,3.333,1.718,2.554,0.755
375,12.5,3.18,3.138,bbox,3.333,1.718,2.554,0.755
376,12.533,3.206,3.144,bbox,3.333,1.755,2.554,0.755
377,12.567,3.225,3.18,bbox,3.333,1.755,2.554,0.755
378,12.6,2.668,3.18,pose,3.333,1.822,2.554,0.755
379,12.633,3.227,3.206,bbox,3.333,1.822,2.554,0.755
380,12.667,3.212,3.212,bbox,3.333,1.89,2.554,0.755
381,12.7,3.212,3.212,bbox,3.333,1.89,2.554,0.755
382,12.733,3.235,3.212,bbox,3.333,1.89,2.554,0.755
383,12.767,3.244,3.227,bbox,3.333,1.89,2.554,0.755
384,12.8,3.31,3.235,bbox,3.333,1.89,2.554,0.755
385,12.833,3.289,3.244,bbox,3.333,1.927,2.554,0.755
386,12.867,3.294,3.289,bbox,3.333,1.927,2.554,0.755
387,12.9,3.321,3.294,bbox,3.333,1.927,2.554,0.755
388,12.933,3.32,3.31,bbox,3.333,1.927,2.554,0.755
389,12.967,3.253,3.294,bbox,3.333,1.927,2.554,0.755
390,13.0,2.734,3.294,pose,3.333,1.927,2.554,0.755
391,13.033,3.147,3.253,bbox,3.333,1.927,2.554,0.755
392,13.067,3.113,3.147,bbox,3.333,1.927,2.554,0.755
393,13.1,3.106,3.113,bbox,3.398,1.927,2.597,0.755
394,13.133,,,,3.398,1.927,2.597,0.755
395,13.167,3.009,3.106,bbox,3.398,1.927,2.597,0.755
396,13.2,2.584,3.106,pose,3.398,1.927,2.597,0.755
397,13.233,2.948,3.009,bbox,3.398,1.927,2.649,0.755
398,13.267,2.914,2.948,bbox,3.462,1.927,2.69,0.755
399,13.3,2.436,2.914,pose,3.462,1.927,2.69,0.755
400,13.333,2.817,2.817,bbox,3.462,1.927,2.723,0.755
401,13.367,2.827,2.827,bbox,3.497,1.927,2.723,0.755
402,13.4,2.825,2.825,bbox,3.552,1.927,2.723,0.755
403,13.433,2.843,2.825,bbox,3.552,1.927,2.723,0.755
404,13.467,2.835,2.827,bbox,3.589,1.927,2.759,0.755
405,13.5,2.801,2.827,bbox,3.589,1.927,2.795,0.755
406,13.533,2.736,2.825,bbox,3.589,1.927,2.795,0.755
407,13.567,2.671,2.801,bbox,3.589,1.927,2.903,0.755
408,13.6,2.623,2.736,bbox,3.589,1.927,2.964,0.755
409,13.633,2.581,2.671,bbox,3.589,1.927,3.092,0.755
410,13.667,2.601,2.623,bbox,3.589,1.927,3.092,0.755
411,13.7,2.304,2.601,pose,3.589,1.965,3.183,0.755
412,13.733,2.599,2.599,bbox,3.589,2.021,3.233,0.755
413,13.767,2.604,2.599,bbox,3.589,2.122,3.233,0.755
414,13.8,1.38,2.599,pose,3.589,2.122,3.373,0.755
415,13.833,2.768,2.599,bbox,3.589,2.197,3.373,0.755
416,13.867,2.726,2.604,bbox,3.589,2.197,3.373,0.755
417,13.9,2.732,2.726,bbox,3.589,2.197,3.404,0.755
418,13.933,2.843,2.732,bbox,3.589,2.197,3.404,0.755
419,13.967,2.715,2.732,bbox,3.634,2.197,3.404,0.755
420,14.0,2.605,2.726,bbox,3.634,2.197,3.404,0.901
421,14.033,2.54,2.715,bbox,3.711,2.197,3.404,0.945
422,14.067,2.522,2.605,bbox,3.711,2.197,3.404,0.945
423,14.1,2.691,2.605,bbox,3.711,2.197,3.404,0.981
424,14.133,2.775,2.605,bbox,3.711,2.197,3.404,0.981
425,14.167,2.984,2.691,bbox,3.711,2.197,3.404,1.045
426,14.2,2.963,2.775,bbox,3.711,2.197,3.404,1.045
