frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
213,4.26,2.136,2.831,pose,1.292,0.97,1.753,1.471,3.2045,6.0046,0.8645,0.9489,0.7105,0.6154
214,4.28,3.03,2.835,bbox,1.292,1.008,1.753,1.504,3.1756,6.0517,,,,
215,4.3,3.07,2.871,bbox,1.292,1.008,1.753,1.554,3.1572,6.1027,,,,
216,4.32,2.377,2.871,pose,1.292,1.064,1.753,1.601,3.12,6.0953,0.9263,0.8574,0.7022,0.5981
217,4.34,3.188,3.03,bbox,1.292,1.064,1.753,1.645,3.0769,6.1251,,,,
218,4.36,3.315,3.07,bbox,1.292,1.12,1.753,1.645,3.0242,6.1718,,,,
219,4.38,2.803,3.07,pose,1.292,1.163,1.753,1.645,2.9882,6.1995,0.89,0.0927,0.6639,0.0896
220,4.4,3.489,3.188,bbox,1.292,1.215,1.753,1.721,2.9483,6.2256,,,,
221,4.42,3.6,3.315,bbox,1.292,1.251,1.753,1.721,2.9187,6.2384,,,,
222,4.44,2.851,3.315,pose,1.292,1.291,1.753,1.775,2.8864,6.2436,0.9341,0.8789,0.6259,0.5384
223,4.46,3.756,3.489,bbox,1.292,1.291,1.753,1.775,2.8529,6.2462,,,,
224,4.48,3.793,3.6,bbox,1.292,1.353,1.753,1.775,2.8199,6.2469,,,,
225,4.5,2.896,3.6,pose,1.292,1.387,1.753,1.775,2.7798,6.2427,1.0284,0.8769,0.5578,0.563
226,4.52,3.827,3.756,bbox,1.292,1.42,1.753,1.775,2.7676,6.2404,,,,
227,4.54,3.822,3.793,bbox,1.292,1.46,1.753,1.775,2.7631,6.2354,,,,
228,4.56,2.839,3.793,pose,1.292,1.46,1.753,1.775,2.7555,6.2351,1.0593,0.8748,0.5722,0.5824
229,4.58,3.716,3.716,bbox,1.292,1.46,1.753,1.775,2.7523,6.1905,,,,
230,4.6,3.702,3.716,bbox,1.292,1.46,1.753,1.775,2.7438,6.1839,,,,
231,4.62,2.791,3.702,pose,1.292,1.46,1.788,1.775,2.7376,6.182,1.0441,0.8714,0.6275,0.6106
232,4.64,3.636,3.636,bbox,1.292,1.496,1.788,1.775,2.73,6.1611,,,,
233,4.66,3.587,3.636,bbox,1.292,1.496,1.788,1.775,2.7277,6.1431,,,,
234,4.68,2.709,3.587,pose,1.292,1.496,1.788,1.775,2.7107,6.0986,0.9924,0.8662,0.6815,0.6267
235,4.7,3.532,3.532,bbox,1.292,1.496,1.835,1.775,2.6948,6.0643,,,,
236,4.72,3.515,3.532,bbox,1.292,1.529,1.88,1.775,2.6585,6.0363,,,,
237,4.74,2.761,3.515,pose,1.292,1.529,1.914,1.775,2.6227,6.0008,0.8107,0.852,0.7497,0.6267
238,4.76,3.517,3.515,bbox,1.292,1.581,1.914,1.775,2.5904,5.987,,,,
239,4.78,3.528,3.517,bbox,1.292,1.617,1.978,1.775,2.5747,5.9779,,,,
240,4.8,2.977,3.515,pose,1.292,1.649,1.978,1.775,2.5707,5.9626,0.5927,0.848,0.7361,0.6022
241,4.82,3.502,3.502,bbox,1.292,1.649,1.978,1.775,2.6123,5.9652,,,,
242,4.84,3.583,3.517,bbox,1.292,1.649,2.013,1.775,2.5694,5.962,,,,
243,4.86,3.27,3.502,pose,1.292,1.649,2.013,1.775,2.5644,5.9418,0.3839,0.862,0.715,0.5687
