frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
181,3.02,2.394,2.351,bbox,1.38,0.211,0.492,1.07,2.3596,4.9615,,,,
182,3.036,2.419,2.387,bbox,1.38,0.211,0.492,1.07,2.3568,4.9891,,,,
183,3.053,1.935,2.351,pose,1.38,0.211,0.492,1.07,2.348,5.0209,0.4326,0.9313,0.6094,0.9943
184,3.07,2.538,2.394,bbox,1.38,0.211,0.492,1.109,2.3447,5.0575,,,,
185,3.086,2.594,2.419,bbox,1.38,0.211,0.492,1.141,2.3429,5.1163,,,,
186,3.103,1.972,2.419,pose,1.38,0.211,0.492,1.178,2.3496,5.1695,0.5304,0.8664,0.5935,0.965
187,3.12,2.625,2.538,bbox,1.38,0.211,0.492,1.236,2.3606,5.1841,,,,
188,3.136,2.64,2.594,bbox,1.38,0.211,0.492,1.29,2.3704,5.1715,,,,
189,3.153,1.921,2.594,pose,1.38,0.211,0.492,1.29,2.3738,5.1662,0.6339,0.9118,0.5645,0.8814
190,3.17,2.615,2.615,bbox,1.38,0.211,0.492,1.29,2.3811,5.1633,,,,
191,3.187,2.617,2.617,bbox,1.38,0.211,0.492,1.29,2.3808,5.1564,,,,
192,3.203,1.883,2.615,pose,1.38,0.211,0.492,1.29,2.3822,5.1442,0.6601,0.944,0.5591,0.8972
193,3.22,2.589,2.589,bbox,1.38,0.211,0.492,1.29,2.3837,5.1337,,,,
194,3.237,2.578,2.589,bbox,1.38,0.211,0.492,1.29,2.3917,5.1185,,,,
195,3.253,1.848,2.578,pose,1.38,0.211,0.528,1.29,2.3967,5.1119,0.7085,0.9558,0.5489,0.8942
196,3.27,2.53,2.53,bbox,1.38,0.211,0.528,1.29,2.3939,5.1064,,,,
197,3.287,2.528,2.53,bbox,1.38,0.211,0.528,1.29,2.3942,5.0962,,,,
198,3.303,1.832,2.528,pose,1.38,0.211,0.528,1.29,2.4018,5.0867,0.7141,0.9516,0.5464,0.9508
199,3.32,2.481,2.481,bbox,1.38,0.211,0.566,1.29,2.3868,5.0743,,,,
200,3.337,2.474,2.481,bbox,1.38,0.211,0.566,1.29,2.389,5.0724,,,,
201,3.353,1.837,2.474,pose,1.38,0.211,0.566,1.29,2.3765,5.06,0.7161,0.9664,0.555,0.9481
202,3.37,2.472,2.472,bbox,1.38,0.211,0.566,1.29,2.3792,5.0673,,,,
203,3.387,2.483,2.474,bbox,1.38,0.211,0.566,1.29,2.3755,5.0702,,,,
204,3.403,1.86,2.472,pose,1.38,0.211,0.566,1.29,2.3935,5.0842,0.6584,0.9659,0.5322,0.933
205,3.42,2.483,2.472,bbox,1.38,0.211,0.566,1.29,2.4308,5.1119,,,,
206,3.437,2.545,2.483,bbox,1.38,0.211,0.566,1.29,2.4177,5.16,,,,
207,3.453,1.974,2.483,pose,1.425,0.211,0.566,1.29,2.4314,5.1843,0.6115,0.9091,0.5334,0.9472
208,3.47,2.589,2.483,bbox,1.425,0.211,0.566,1.353,2.4261,5.2223,,,,
209,3.487,2.546,2.545,bbox,1.425,0.211,0.566,1.353,2.4309,5.2169,,,,
210,3.504,1.972,2.545,pose,1.425,0.211,0.566,1.41,2.4153,5.2214,0.5731,0.9814,0.5322,0.9148
211,3.52,2.574,2.546,bbox,1.425,0.211,0.566,1.41,2.3948,5.2118,,,,
212,3.537,2.585,2.574,bbox,1.425,0.211,0.566,1.41,2.365,5.2017,,,,
213,3.554,1.976,2.546,pose,1.425,0.211,0.566,1.41,2.3486,5.1984,0.577,1.0177,0.5526,0.8852
214,3.57,2.589,2.574,bbox,1.425,0.263,0.566,1.41,2.3337,5.1876,,,,
215,3.587,2.578,2.578,bbox,1.425,0.263,0.566,1.41,2.3268,5.1759,,,,
216,3.604,1.954,2.578,pose,1.425,0.295,0.566,1.41,2.3224,5.1599,0.5899,1.0175,0.6047,0.9356
217,3.62,2.542,2.542,bbox,1.425,0.295,0.607,1.41,2.314,5.146,,,,
218,3.637,2.555,2.555,bbox,1.425,0.295,0.607,1.41,2.2793,5.1314,,,,
219,3.654,1.933,2.542,pose,1.425,0.295,0.607,1.41,2.2471,5.1216,0.6117,1.0147,0.634,0.9542
220,3.67,2.548,2.542,bbox,1.425,0.349,0.651,1.41,2.2302,5.1128,,,,
221,3.687,2.548,2.548,bbox,1.425,0.381,0.651,1.41,2.2128,5.1077,,,,
222,3.704,2.012,2.548,pose,1.425,0.381,0.651,1.41,2.1914,5.0994,0.4928,1.0303,0.6385,0.9912
223,3.72,2.556,2.548,bbox,1.425,0.416,0.651,1.41,2.1696,5.095,,,,
224,3.737,2.554,2.548,bbox,1.425,0.416,0.683,1.41,2.1492,5.0951,,,,
