frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
184,6.139,2.368,2.307,2.368,bbox,1.681,1.103,1.717,1.017,2.484,4.8835,,,,
185,6.173,2.409,2.324,2.409,bbox,1.681,1.103,1.717,1.017,2.4478,4.893,,,,
186,6.206,2.09,2.324,2.443,pose,1.681,1.137,1.717,1.057,2.4238,4.9238,0.5539,0.1366,0.8574,0.6205
187,6.24,2.596,2.368,2.596,bbox,1.681,1.174,1.717,1.057,2.3562,5.0088,,,,
188,6.273,2.666,2.409,2.666,bbox,1.681,1.174,1.717,1.097,2.315,5.056,,,,
189,6.306,2.488,2.488,2.717,pose,1.681,1.265,1.717,1.182,2.2945,5.0992,0.2986,0.0128,0.8643,0.6587
190,6.34,2.765,2.596,2.765,bbox,1.681,1.306,1.717,1.229,2.2732,5.1389,,,,
191,6.373,2.816,2.666,2.816,bbox,1.681,1.306,1.717,1.273,2.2455,5.1621,,,,
192,6.406,2.809,2.765,2.889,pose,1.681,1.348,1.717,1.312,2.1841,5.1789,0.0146,0.1526,0.8084,0.6856
193,6.44,2.967,2.809,2.967,bbox,1.681,1.348,1.717,1.312,2.1297,5.1932,,,,
194,6.473,3.013,2.816,3.013,bbox,1.681,1.437,1.717,1.352,2.0744,5.2075,,,,
195,6.506,2.827,2.827,3.047,pose,1.681,1.492,1.717,1.352,2.0414,5.2125,0.2371,0.2715,0.8453,0.6774
196,6.54,3.082,2.967,3.082,bbox,1.681,1.547,1.717,1.352,2.0242,5.2264,,,,
197,6.573,3.12,3.013,3.12,bbox,1.681,1.58,1.717,1.386,2.0065,5.2393,,,,
198,6.607,2.83,3.013,3.139,pose,1.681,1.58,1.717,1.386,1.9828,5.2527,0.3098,0.2842,0.8794,0.6659
199,6.64,3.179,3.082,3.179,bbox,1.681,1.615,1.717,1.386,1.9685,5.2664,,,,
200,6.673,3.203,3.12,3.203,bbox,1.681,1.615,1.717,1.426,1.963,5.288,,,,
201,6.707,2.981,3.12,3.232,pose,1.681,1.653,1.717,1.426,1.9513,5.3107,0.3068,0.2065,0.8878,0.6589
202,6.74,3.262,3.179,3.262,bbox,1.681,1.653,1.717,1.461,1.9467,5.3336,,,,
203,6.773,3.312,3.203,3.312,bbox,1.681,1.653,1.717,1.461,1.9373,5.3648,,,,
204,6.807,3.308,3.262,3.353,pose,1.681,1.653,1.717,1.507,1.9247,5.3927,0.0758,0.0272,0.9066,0.5488
205,6.84,3.411,3.308,3.411,bbox,1.681,1.684,1.717,1.538,1.9015,5.4177,,,,
206,6.874,3.446,3.312,3.446,bbox,1.681,1.684,1.717,1.538,1.8825,5.4453,,,,
207,6.907,3.49,3.411,3.466,pose,1.681,1.72,1.717,1.591,1.8595,5.4489,0.0026,0.1335,0.9155,0.6273
208,6.94,3.517,3.446,3.517,bbox,1.681,1.72,1.717,1.591,1.8026,5.4539,,,,
209,6.974,3.581,3.49,3.581,bbox,1.681,1.762,1.717,1.622,1.7354,5.4655,,,,
210,7.007,3.48,3.49,3.695,pose,1.681,1.819,1.717,1.622,1.6553,5.4727,0.3256,0.2861,0.8896,0.6474
211,7.04,3.785,3.517,3.785,bbox,1.681,1.886,1.717,1.622,1.5811,5.4952,,,,
212,7.074,3.841,3.581,3.841,bbox,1.681,1.966,1.717,1.622,1.5275,5.4883,,,,
213,7.107,3.494,3.581,3.898,pose,1.681,2.04,1.717,1.662,1.4835,5.4885,0.54,0.3038,0.8936,0.6077
214,7.14,3.965,3.785,3.965,bbox,1.681,2.094,1.717,1.662,1.4527,5.4906,,,,
215,7.174,3.965,3.841,3.965,bbox,1.681,2.138,1.717,1.662,1.4458,5.5035,,,,
216,7.207,3.565,3.841,3.999,pose,1.681,2.169,1.717,1.662,1.443,5.5173,0.5891,0.289,0.9365,0.6271
217,7.241,4.014,3.965,4.014,bbox,1.681,2.169,1.717,1.662,1.449,5.5292,,,,
218,7.274,4.041,3.965,4.041,bbox,1.681,2.169,1.717,1.662,1.4413,5.5444,,,,
219,7.307,3.629,3.965,4.056,pose,1.681,2.169,1.717,1.703,1.4389,5.5643,0.6149,0.245,0.9402,0.6222
220,7.341,4.092,4.014,4.092,bbox,1.681,2.169,1.717,1.703,1.4358,5.5825,,,,
221,7.374,4.134,4.041,4.134,bbox,1.681,2.169,1.717,1.738,1.4335,5.6034,,,,
222,7.407,4.139,4.092,4.139,bbox,1.681,2.169,1.717,1.738,1.4164,5.6234,0.5943,,0.9218,
223,7.441,4.16,4.134,4.16,bbox,1.681,2.169,1.717,1.777,1.4086,5.6477,,,,
224,7.474,4.168,4.139,4.168,bbox,1.681,2.205,1.717,1.777,1.3992,5.6693,,,,
225,7.508,3.932,4.139,4.215,pose,1.681,2.205,1.717,1.821,1.3763,5.6898,0.4399,0.0908,0.9466,0.6219
226,7.541,4.259,4.16,4.259,bbox,1.681,2.205,1.717,1.821,1.3449,5.7015,,,,
227,7.574,4.316,4.168,4.316,bbox,1.681,2.245,1.717,1.863,1.2982,5.7202,,,,
228,7.608,4.077,4.168,4.362,pose,1.681,2.277,1.717,1.863,1.256,5.7289,0.3815,0.0179,0.9135,0.5692
229,7.641,4.432,4.259,4.432,bbox,1.681,2.323,1.717,1.894,1.222,5.7386,,,,
230,7.674,4.458,4.316,4.458,bbox,1.681,2.365,1.717,1.894,1.1941,5.7422,,,,
231,7.708,4.159,4.316,4.492,pose,1.681,2.399,1.717,1.894,1.1891,5.7399,0.3976,0.0594,0.9222,0.4993
232,7.741,4.497,4.432,4.497,bbox,1.681,2.399,1.717,1.894,1.1872,5.7315,,,,
233,7.774,4.469,4.458,4.469,bbox,1.681,2.399,1.717,1.894,1.2052,5.7187,,,,
234,7.808,4.112,4.458,4.47,pose,1.681,2.399,1.717,1.894,1.2395,5.7513,0.4621,0.0542,0.9345,0.5824
235,7.841,4.431,4.431,4.431,bbox,1.681,2.399,1.717,1.894,1.2806,5.7241,,,,
