frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
142,4.738,3.356,3.308,3.356,bbox,1.388,0.652,0.878,1.272,1.7824,4.756,,,,
143,4.771,3.357,3.349,3.357,bbox,1.388,0.689,0.878,1.272,1.7778,4.7586,,,,
144,4.805,2.505,3.349,3.333,pose,1.388,0.689,0.878,1.272,1.7759,4.7494,1.018,0.8021,0.6117,0.5765
145,4.838,3.308,3.308,3.308,bbox,1.388,0.689,0.878,1.272,1.7741,4.7443,,,,
146,4.872,3.279,3.308,3.279,bbox,1.388,0.689,0.878,1.272,1.7808,4.7208,,,,
147,4.905,2.372,3.279,3.229,pose,1.388,0.689,0.878,1.272,1.7938,4.6947,1.0267,0.8717,0.5814,0.5957
148,4.938,3.202,3.202,3.202,bbox,1.388,0.689,0.91,1.272,1.8109,4.6596,,,,
149,4.972,3.138,3.202,3.138,bbox,1.388,0.689,0.91,1.272,1.8331,4.6086,,,,
150,5.005,2.331,3.138,3.13,pose,1.388,0.689,0.971,1.272,1.8516,4.5548,0.976,0.8686,0.5224,0.5714
151,5.038,2.828,2.828,2.828,bbox,1.434,0.689,1.022,1.272,1.8707,4.5317,,,,
152,5.072,2.75,2.828,2.75,bbox,1.434,0.689,1.076,1.272,1.8871,4.5252,,,,
153,5.105,2.372,2.75,3.071,pose,1.472,0.689,1.076,1.272,1.8879,4.5241,0.9232,0.8387,0.5304,0.5401
154,5.138,3.119,2.75,3.119,bbox,1.472,0.689,1.076,1.272,1.8802,4.5276,,,,
155,5.172,3.102,2.828,3.102,bbox,1.472,0.689,1.076,1.272,1.8672,4.5275,,,,
156,5.205,2.04,2.75,2.702,pose,1.472,0.689,1.076,1.272,1.8539,4.5315,0.9969,0.8275,0.5646,0.562
157,5.239,2.978,2.978,2.978,bbox,1.472,0.689,1.076,1.272,1.8401,4.537,,,,
158,5.272,3.004,3.004,3.004,bbox,1.472,0.689,1.076,1.272,1.8298,4.5435,,,,
159,5.305,2.249,2.978,3.013,pose,1.472,0.72,1.076,1.272,1.8203,4.5514,0.995,0.8194,0.5666,0.6378
160,5.339,3.064,2.978,3.064,bbox,1.472,0.72,1.076,1.272,1.8114,4.5617,,,,
161,5.372,3.052,3.004,3.052,bbox,1.472,0.72,1.076,1.272,1.8067,4.5557,,,,
162,5.405,2.417,3.004,3.053,pose,1.472,0.72,1.076,1.272,1.813,4.5579,0.9992,0.6804,0.6023,0.604
163,5.439,3.076,3.052,3.076,bbox,1.472,0.72,1.076,1.272,1.8167,4.5664,,,,
164,5.472,3.076,3.064,3.076,bbox,1.472,0.72,1.076,1.272,1.825,4.5678,,,,
165,5.506,2.413,3.052,3.072,pose,1.472,0.72,1.076,1.272,1.8267,4.56,1.0165,0.6894,0.5977,0.5699
166,5.539,3.073,3.073,3.073,bbox,1.472,0.72,1.076,1.272,1.8283,4.5491,,,,
167,5.572,3.033,3.073,3.033,bbox,1.472,0.72,1.076,1.272,1.8348,4.5423,,,,
168,5.606,2.282,3.033,3.065,pose,1.472,0.72,1.076,1.272,1.8321,4.531,1.0107,0.8241,0.6113,0.5474
169,5.639,3.075,3.033,3.075,bbox,1.472,0.72,1.076,1.272,1.8455,4.5224,,,,
170,5.672,3.07,3.07,3.07,bbox,1.472,0.72,1.076,1.272,1.8496,4.5121,,,,
171,5.706,2.242,3.033,3.068,pose,1.472,0.72,1.108,1.272,1.8441,4.49,0.9982,0.8899,0.5968,0.5158
172,5.739,3.065,3.065,3.065,bbox,1.472,0.72,1.108,1.272,1.8303,4.4751,,,,
173,5.772,3.072,3.07,3.072,bbox,1.472,0.72,1.141,1.272,1.8094,4.4642,,,,
174,5.806,2.192,3.065,3.048,pose,1.472,0.72,1.141,1.272,1.7884,4.4531,1.0114,0.9057,0.6217,0.5401
175,5.839,3.04,3.04,3.04,bbox,1.472,0.751,1.141,1.272,1.7765,4.4486,,,,
176,5.873,3.006,3.04,3.006,bbox,1.472,0.751,1.178,1.272,1.772,4.4505,,,,
177,5.906,2.169,3.006,3.016,pose,1.472,0.783,1.178,1.272,1.768,4.4536,1.0307,0.8789,0.6262,0.6012
178,5.939,3.005,3.005,3.005,bbox,1.472,0.783,1.178,1.272,1.7664,4.4469,,,,
179,5.973,2.971,3.005,2.971,bbox,1.472,0.783,1.178,1.272,1.7637,4.4169,,,,
180,6.006,2.161,2.971,2.948,pose,1.472,0.783,1.178,1.272,1.7644,4.4004,0.9965,0.7914,0.6148,0.5862
181,6.039,2.96,2.96,2.96,bbox,1.472,0.783,1.214,1.272,1.766,4.4035,,,,
182,6.073,2.975,2.971,2.975,bbox,1.472,0.783,1.214,1.272,1.7681,4.4039,,,,
183,6.106,2.203,2.96,3.019,pose,1.472,0.783,1.214,1.272,1.7677,4.4119,1.0003,0.757,0.617,0.5674
184,6.139,3.025,2.96,3.025,bbox,1.472,0.783,1.214,1.272,1.7644,4.4095,,,,
185,6.173,3.036,2.975,3.036,bbox,1.472,0.783,1.214,1.272,1.7677,4.4195,,,,
186,6.206,2.03,2.975,3.002,pose,1.472,0.783,1.214,1.272,1.7735,4.3868,1.0703,0.8538,0.5874,0.5251
187,6.24,2.979,2.979,2.979,bbox,1.472,0.783,1.214,1.272,1.7808,4.3653,,,,
188,6.273,2.902,2.979,2.902,bbox,1.472,0.783,1.244,1.272,1.8064,4.3527,,,,
189,6.306,1.862,2.902,2.713,pose,1.472,0.783,1.244,1.272,1.8246,4.347,1.0562,0.8766,0.6036,0.493
190,6.34,2.696,2.696,2.696,bbox,1.472,0.783,1.278,1.272,1.8354,4.3476,,,,
191,6.373,2.828,2.828,2.828,bbox,1.52,0.783,1.278,1.272,1.8317,4.3477,,,,
192,6.406,1.969,2.696,2.839,pose,1.52,0.783,1.278,1.272,1.8189,4.3466,1.0217,0.8828,0.6444,0.5633
193,6.44,2.754,2.696,2.754,bbox,1.52,0.783,1.278,1.272,1.7967,4.3442,,,,
194,6.473,2.755,2.754,2.755,bbox,1.52,0.783,1.278,1.272,1.7813,4.3385,,,,
195,6.506,1.899,2.754,2.741,pose,1.52,0.783,1.278,1.272,1.7623,4.3257,1.0168,0.8581,0.7229,0.6138
196,6.54,2.554,2.554,2.554,bbox,1.52,0.827,1.278,1.272,1.7557,4.3107,,,,
197,6.573,2.698,2.698,2.698,bbox,1.52,0.827,1.278,1.272,1.7395,4.3017,,,,
198,6.607,1.975,2.554,2.705,pose,1.52,0.827,1.32,1.272,1.7286,4.288,1.0424,0.7598,0.7506,0.6384
199,6.64,2.737,2.554,2.737,bbox,1.52,0.869,1.32,1.272,1.721,4.2943,,,,
200,6.673,2.781,2.698,2.781,bbox,1.52,0.869,1.32,1.272,1.704,4.2975,,,,
